query,device,impressions
michael jordan basketball stats,Mobile,1
larry bird rookie stats,Mobile,1
michael jordan stats all time,Mobile,1
micheal jordan career stats,Desktop,1
michael.jordan career stats,Desktop,1
michael jordans stats,Desktop,1
michael jordans career stats,Desktop,1
michael jordan year by year stats,Desktop,1
michael jordan turnovers career,Mobile,1
michael jordan turnovers career,Desktop,1
michael jordan total points,Mobile,1
michael jordan stats total,Mobile,1
michael jordan stats nba,Desktop,1
michael jordan stats by season,Desktop,1
michael jordan stats all time,Desktop,1
michael jordan career,Desktop,1
michael jordan stats,Tablet,1
michael jordan statistics,Mobile,1
michael jordan stast,Desktop,1
michael jordan season stats,Mobile,1
michael jordan season stats,Desktop,1
michael jordan points in career,Mobile,1
michael jordan points career,Desktop,1
michael jordan points,Mobile,1
michael jordan career stats totals,Desktop,1
michael jordan career stat,Desktop,1
michael jordan career averages,Desktop,1
larry bird rookie year stats,Desktop,1
larry bird prime stats,Desktop,1
kareem career rebounds,Desktop,1
kobe bryant career points total,Desktop,1
kobe bryant stats all time,Desktop,1
kobe bryant season stats,Desktop,1
kobe bryant rookie stats,Desktop,1
kobe bryant ppg career,Desktop,1
kobe bryant ppg average,Desktop,1
kobe bryant overall stats,Mobile,1
kobe bryant nba stats,Mobile,1
kobe bryant lifetime stats,Desktop,1
kobe bryant career stats,Tablet,1
kobe bryant career statistics,Desktop,1
kobe bryant career scoring average,Desktop,1
kobe bryant career points average,Desktop,1
kobe bryant turnovers,Desktop,1
kobe bryant career points,Mobile,1
kobe bryant career avg,Desktop,1
kobe bryant career averages,Desktop,1
kobe bryant career average points,Desktop,1
kobe bryant career average,Desktop,1
kobe bryant basketball reference,Mobile,1
kobe bryant average,Desktop,1
kobe bryan stats,Mobile,1
kibe bryant stats,Desktop,1
kareem.abdul jabbar stats,Desktop,1
kareem free throw percentage,Mobile,1
kobe bryant stats career,Mobile,1
kobe bryant yearly stats,Desktop,1
larry bird lifetime stats,Desktop,1
larry bird all time points,Mobile,1
larry bird games played,Desktop,1
larry bird career steals,Desktop,1
larry bird career statistics,Mobile,1
larry bird career rebounds,Mobile,1
larry bird career highs,Desktop,1
larry bird career field goal percentage,Desktop,1
larry bird career averages,Mobile,1
larry bird career assists,Desktop,1
larry bird best season stats,Desktop,1
larry bird assists per game,Desktop,1
larry bird all time stats,Mobile,1
lamar odom reference,Desktop,1
kobe bryant.stats,Mobile,1
lamar odom ppg,Mobile,1
lamar odom position,Desktop,1
kone bryant stats,Desktop,1
kobe's stats,Desktop,1
kobe stat,Desktop,1
kobe stars,Desktop,1
kobe nba stats,Desktop,1
kobe last year stats,Desktop,1
kobe career points,Desktop,1
kobe career averages,Desktop,1
kobe bryants stats,Desktop,1
winford boynes,Mobile,1
